Precio,Expensas,Direccion,Ambientes,Tipo,Url,Descripcion
200000,,5  e/ 43 y 44   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487963,MONOAMBIENTE EN ALQUILER ubicado en 5 E/ 43 Y 44 25 mts2 aprox. Cocina separada ( conexión para lavarropas) ...
200000,17000,57 n° 378 Piso 2 Depto 2 e/ 2 y 3    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-348058,Departamento en buen estado. Ambientes amplios y luminosos.Alberto Dacal Propiedades: Código de la propiedad 4572 Argentina | G.B.A. Zona Sur | La...
200000,50000,62 Nro. 322 Entre 1 y 2 (1°3)    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-381855,"Monoambiente en primer piso por escalera.Cuenta con estar comedor con placard, cocina sectorizada con heladera y baño.Expensas aproximadas $,..."
200000,48000,62 Nro. 322 Entre 1 y 2 (torre ii 3°2)    , Monoamb,"Departamento en   San Carlos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-460589,"Monoambiente dividido, tercer piso por escalera.Cuenta con cocina comedor y una división para el dormitorio con placard y baño.Expensas apr..."
200000,8000,70 n° 177 e/ 121 y 122 piso 2 dto a    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486196,"Monoambiente dividido con un dorm, al frente 2do piso por escalera.Alberto Dacal Propiedades: Código de la propiedad Argentina | G.B.A. Zona..."
200000,25000,8  e/ 57 y 58   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-481342,"Departamento en alquiler en La Plata, casco urbano. Estado Bueno, ideal estudiantes."
200000,7000,64  e/ 1 y 115   , Monoamb,"Departamento en   Mondongo, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-349717,(64 e 1 y 115) Monoambiente en primer piso por escalera. Cocina integrada. Baño completo. Bajas expensas: $7.000 e incluyen absa. Posibilidad de alquiler c...
200000,,419  y 144    , 1 Dorm,"Departamento en   Arturo Segui, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-468969,"Departamento en alquiler, comodidades: 1 dormitorio, cocina comedor, baño completo, lavadero, patio."
200000,60000,2  N°1290 e/ 58 y 59   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488970,"Monoambiente con balcón Zona universitaria Este monoambiente luminoso y funcional cuenta con: cocina integrada con muebles bajo mesada, conexión para ..."
210000,,1  e/ 33 y 34   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484146,"Monoambiente 1er piso por escalera con cocina incorporada y baño. Se entrega con placard. Cerca de la estacion de trenes, del centro de la ciudad de La Pla..."
210000,,1  e/ 46 y 47   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484739,"ALQUILAMOS: 1 e/ 46 y 47:Departamento monoambiente con gran vista. Cocina separada con muebles, baño. Mas info y consultas a nuestro wsap. 474"
210000,29000,9  e/ 54 y 55   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-467707,"Monoambiente en exlente ubicación, luminoso, al contrafrente, piso de ceramica con estufa a gas tiro balanceado. Placard y termotanque."
220000,,73  e/ 21 y 22   , 1 Dorm,"Departamento en   Altos de San Lorenzo, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-230336,"En planta baja, interno de un dormitorio, baño, cocina-comedor, patio con lavadero. Aceptamos recibos de sueldo, gastos financiados. Sin Expensas-"
220000,70000,2  e/ 57 y 58   , Monoamb,"Departamento en   Zona Universidades Bosque, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-480099,"Monoambiente dividido. Cocina comedor. Patio chico. El valor de las expensas incluye Absa, Luz y seguro. El departamento tiene todo eléctrico."
220000,,55  y 25    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-154092,"Departamento pequeño en planta baja, por pasillo. Cocina comedor, dormitorio, baño y patiecito."
220000,18000,144 n° 1371 Depto 1d  e/  60 y 61    , 1 Dorm,"Departamento en   Los Hornos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-343107,DEPARTAMENTO AL CONTRAFRENTE. MUY LUMINOSO. COCHERA Alberto Dacal Propiedades: Código de la propiedad Argentina | G.B.A. Zona Sur |...
220000,,70  e/ 120 y 121   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-90732,Monoambiente en planta baja al frente en excelente zona. Gas envasado. SIN EXPENSAS.
220000,15000,132  e/ 43 y 44   , Monoamb,"Departamento en   San Carlos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-462466,"Consultorio para varios destinos, interno con vista al frente, Sin artefacto de cocina, baño completo, pisos de parquet. Apto Profesional ."
220000,,1 bis  N°2283 e/ 78 y 79   , 1 Dorm,"Departamento en   Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-467884,"Departamento tipo PH interno en Villa Elvira. Posee 35 m2. Cuenta con un dorm., living comedor, cocina incorporada con doble mesada y muebles bajo mesada,..."
220000,,12  y 77    , 1 Dorm,"Departamento en   Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-482446,"Departamento al frente en 12 y 77 SIN EXPENSAS Cocina con comedor integrado Dormitorio, con espacio para pequeño vestidor Baño Luminoso Con..."
220000,39000,50  N°832 e/ 11 y 12   , Monoamb,"Departamento en   Plaza Moreno, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-483580,MONOAMBIENTE CON PATIO Y LAVADERO. Excelente zona y muy luminoso. Amplio departamento monoambiente a metros de Plaza Moreno. Posee cocina separada con mueb...
220000,48300,Diagonal 73  N°870 e/ 63 y 64 a estrenar    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-367951,#Alquiler #LaPlata #VivirMejor Calle Diagonal 73 e/ 63 y 64 Zona universitaria Monoambiente a estrenar en un 11vo piso al contrafrente. Excelente...
220000,,77 bis  e/ 1 y 115   , 1 Dorm,"Departamento en   Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-357673,"Departamento en planta baja, al frente, a metros de Avenida 1, de un dormitorio, cocina-comedor, baño. A metros de Rapi-pago, farmacia, mercado y mas comer..."
220000,,134  e/ 46 y 47   , Monoamb,"Departamento en   San Carlos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-360848,Monoambiente apto vivienda/showroom/ negocio! en 134 e 46 y 47 Con patio Video de la propiedad https://instagram.com/reel/C6HC0LHsf7U/?utm_source=i...
225000,,4  e/ 55 y 56   , Monoamb,"Departamento en   Parque San Martín, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487662,"Departamento monoambiente, impecable cuenta con horno eléctrico y calobentor."
230000,,74  e/ 14 y 15   , Monoamb,"Departamento en   Altos de San Lorenzo, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-483625,"Buen departamento monoambiente al frente en la localidad de Altos de San Lorenzo. Posee 30 m2, amplio ambiente, cocina separada y baño. Las instalaciones s..."
230000,18000,1  N°1945 y 72    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-483948,"Departamento 1 Dormitorio (con placard) al frente con vista a calle 72, 2° piso por escalera. Cocina independiente, living-comedor, baño, lavadero. Super..."
230000,,4  y 43    , 1 Dorm,"Departamento en   Villa Elisa, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486951,"departamento al frente, un dormitorio, cocina comedor y baño"
230000,28500,47  e/ 13 y 14   , Monoamb,"Departamento en   Centro calle 13, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489167,"Monoambiente en tercer piso, baño completo con bañera, kitchenette con anafe de dos hornallas. Aire acondicionado. valor del alquiler $230.000 sin coch..."
230000,35000,54  N°856 e/ 12 y 13   , Monoamb,"Departamento en   Centro calle 12, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489261,"BAÑEZ PROPIEDADES ALQUILA, Monoambiente frente a Plaza Moreno, inmejorable zona de la ciudad con cercania a centro comercial y facultades. Emplazado en un ..."
230000,23000,2  N°539 e/ 42 y 43   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489293,"MONOAMBIENTE. APTO ESTUDIANTES Zona estacion tren, Terminal omnibus. Facultades (UNLP) Ambiente con cocina, termotanque electrico. Luminoso. ALQUILER ..."
230000,,12  e/ 33 y 34   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-105756,"Departamento Monoambiente con cocina y barra desayunador, baño completo y patio con lavadero. SIN EXPENSAS. DISPONIBLE A PARTIR DEL 01 DE SEPTIEMBRE."
230000,70000,50 n° 470 1/2 Depto 6b  e/  4 y 5    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-479542,MONOAMBIENTE AL FRENTE A ESTRENAR. CALEFACCION POR SPLITAlberto Dacal Propiedades: Código de la propiedad Argentina | G.B.A. Zona Sur | La P...
230000,,70  e/ 5 y 6   , Monoamb,"Departamento en   Plaza España, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-466127,Monoambiente en un segundo piso por escaleras! Con terraza con parrilla
230000,3000,20  e/ 36 y 37   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484655,"Cuenta con un dormitorio, cocina/comedor con muebles bajomesada, baño y patio."
230000,,61  N°553 e/ 125 y 126   , Monoamb,"Departamento en   Zona Universidades Bosque, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-485329,"MONOAMBIENTE ESPECIAL PARA ESTUDIANTES, EN CALLE 61 ENTRE 125 Y 126."
230000,45600,11  N°1227 e/ 57 y 58   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-479281,"ALQUILAMOS departamento al contrafrente en excelente estado! Es antiguo pero bien conservado, cuenta con un cómodo living comedor, cocina separada, lavader..."
Consulte,,148  e/ 66 y 67   , Monoamb,"Departamento en   Los Hornos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488840,"Departamento monoambiente con patio, cocina con muebles bajo y sobre mesada y baño completo."
235000,57000,4  Nro. 1126 entre 55 y 56 (4°3)    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484834,"Monoambiente en un cuarto piso Cuenta con estar comedor, cocina separada y baño completo. Cuenta con un gran ventanal que le da mucha luminosidad y..."
237000,45000,58  e/ 11 y 12   , Monoamb,"Departamento en   Centro calle 12, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486288,"Monoambiente ubicado en calle 58 entre 11 y 12 (La Plata, Buenos Aires). Apto Profesional. Desarrollado en PB, con disposición interna. Dispone de un..."
240000,,115  e/ 78 y 79   , 1 Dorm,"Departamento en   Aeropuerto, Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-476291,LEER ATENTAMENTE LA DESCRIPCION | CONSULTAS DE LUNES A VIERNES DE 9 A 16 HORAS . . . DE LA CRUZ ESTUDIO INMOBILIARIO ALQUILA DEPARTAMENTO INTERNO UBICA...
240000,,12  N°1924 e/ 71 y 72   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-481651,"Departamento 1 Dormitorio (con placard), 1° piso por escalera. Cocina, living-comedor, baño, lavadero. Sup. cubierta APRÓX. 45 mts."
240000,,60  e/ 147 y 148   , 1 Dorm,"Departamento en   Los Hornos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486356,"60 y 147. Departamento en ALQUILER. Consta de cocina comedor, baño, dormitorio, parque y lavadero. $240.000 sin expensas. Opción de entrada para auto."
240000,50000,45  e/ 1 y 2   , Monoamb,"Departamento en   Estación de trenes, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489411,"Monoambiente al frente, buen estado, zona facultasdes, amplio luminoso"
240000,,76 Nro. 1574 Entre 26 y 27 (pb°6)    , 1 Dorm,"Departamento en   Altos de San Lorenzo, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-457567,"Departamento de 1 dormitorio en planta baja.Cuenta con living comedor con cocina sectorizada, baño, dormitorio y patio.Sin expensas. Absa con alq..."
240000,15000,(r) 1 Nro. 1522 1/2 Entre 63 y 64 (1°7)    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487858,"Departamento de 1 dormitorio en primer pisoCuenta con cocina comedor, dormitorio y baño. EXPENSAS aprox. $ 15.000ABSA aprox. $ 8500CONTRATO POR ..."
240000,,6  N°1919 e/ 71 y 72   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-463600,"EXELENTE MONOAMBIENTE CON PATIO, COCINA SEPARADA, BAÑO COMPLETO, PLACARD.EXELENTE ESTADO.NO PAGA EXPENSAS. NO SE ADMITEN MASCOTAS. DISPONILE EN MAYO24"
240000,6000,62  e/ 2 y 3   , 1 Dorm,"Departamento en   Centro calle 12, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-482705,"Departamento interno en primer piso, con cocina-comedor, baño, 1 dormitorio alfombrado (con placard), pequeño balcón trasero, bajas expensas."
240000,25000,8  N°1343 e/ 59 y 60   , 1 Dorm,"Departamento en   Plaza Rocha, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484851,"AMPLIO MONOAMBIENTE DIVIDIDO, QUEDA DE UN DORMITORIO CON PLACARD,BAÑO, COCINA INTEGRADA, EXCELENTE UBICACION !! SE ACEPTAN RECIBOS DE SUELDO COMO GARAN..."
240000,,531  e/ 118 y 119   , 1 Dorm,"Departamento en   Tolosa, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486555,"Dto interno. Totalmente reciclado a nuevo. Entrada por patio embaldosado, con toldo gradaluz, con lavadero. Living/comedor. Cocina (no posee artefacto ..."
240000,30000,1  N°1285 e/ 58 y 59   , Monoamb,"Departamento en   Mondongo, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-357652,Muy luminoso monoambiente en alquiler. Zona universitaria. Amplio monoambiente con cocina semi integrada. Placar y baño completo. 4to piso al frent...
240000,20000,3  N°1434 e/ 61 y 62   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-307735,"Monoambiente con cocina equipada separada, aire acondicionado. Zona facultades. Contrato por 24 meses, actualización cuatrimestral por IPC."
250000,,78  e/ 121 y 122   , 1 Dorm,"Departamento en   Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-481477,"Alquilo departamento 1 habitación, cocina comedor, baño y lavadero."
250000,,117  e/ 68 y diagonal 73   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484317,"Monoambiente Frente, 2° Piso por escalera, Cocina semi-integrada al ambiente unico, placard, Balcon y baño completo con Ante Baño."
250000,,45  N°1096 e/ 16 y 17   , Monoamb,"Departamento en   Plaza Azcuenaga, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484869,"¡¡¡ SE ALQUILA!!! Monoambiente en excelente zona, 7º piso por ascensor, contra frente con vista a la catedral de la Ciudad De La Plata, casco urbano, zo..."
250000,30000,6  N°262 e/ 37 y 38   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-485666,"Departamento 1 Dormitorio (con placard) contrafrente, 1° piso por escalera. Cocina separada c/ lavadero cubierto, living-comedor amplio y baño. Superficie..."
250000,55000,53  e/ 4 y 5   , Monoamb,"Departamento en   Zona Universidades Centro, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486498,"MONOAMBIENTE, CALLE 53 E/4 Y 5 -UBICACION EXCELELNTE -LUMINOSOSO -COCINA SEPARADA CON PASAPLATOS -BAÑO COMPLETO"
250000,40000,18  e/ 55 y 56   , Monoamb,"Departamento en   Plaza Islas Malvinas, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487126,
Consulte,,48  N°558 e/ 6 y 7   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487137,"Departamento de un dormitorio con placard, cuenta con estar comedor, cocina separada, baño completo. Zonda ideal de Facultades, al centro de La Plata y a t..."
250000,,13  e/ 61 y 62   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487140,"Departamento PB Interno de 1 Dormitorio con Placard, Estar Comedor con Cocina Semi Integrada y Baño. No cuenta con gas natural"
250000,,10  e/ 520 y 521   , 1 Dorm,"Departamento en   Tolosa, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487279,"Depto. en planta alta, compuesta de cocina-comedor, baño completo y un dormitorio con placard. Bajas expensas."
250000,,diag 74  y 27    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488229,DEPTO DE 1 DORM PB EN ALQUILER ubicado en Diag 74 esq 27 35 mts2 aprox. Cocina comedor 1 dormi...
